aspect_key,review_key,property_key,review_date,category,polarity,severity,confidence,actionable_by,evidence_span,model,rating,language
83,43,1,2025-03-28,room_quality,positive,not_applicable,high,none,aC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
84,44,1,2025-04-02,room_quality,positive,not_applicable,high,none,AC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
85,44,1,2025-04-02,noise,positive,not_applicable,high,none,very peaceful,gemini-3.1-flash-lite,5.0,en
86,45,1,2025-03-10,room_quality,positive,not_applicable,high,none,AC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
87,45,1,2025-03-10,amenities,positive,not_applicable,high,none,kitchenette had everything we needed,gemini-3.1-flash-lite,5.0,en
88,45,1,2025-03-10,room_quality,negative,minor,high,front_office,the apartment felt smaller than the photos suggested,gemini-3.1-flash-lite,5.0,en
89,46,1,2025-03-15,location,positive,not_applicable,high,none,Great location,gemini-3.1-flash-lite,4.5,en
90,46,1,2025-03-15,amenities,positive,not_applicable,high,none,free parking,gemini-3.1-flash-lite,4.5,en
91,47,2,2025-03-08,cleanliness,positive,not_applicable,high,none,Room was very clean and fresh,gemini-3.1-flash-lite,5.0,en
92,47,2,2025-03-08,wifi,positive,not_applicable,high,none,wiFi was fast and stable,gemini-3.1-flash-lite,5.0,en
93,48,2,2025-03-23,other,negative,moderate,high,front_office,Grocery delivery service was handy Hope they fix it.,gemini-3.1-flash-lite,4.5,en
94,49,2,2025-03-17,cleanliness,positive,not_applicable,high,none,Ekdum clean tha,gemini-3.1-flash-lite,4.0,en
95,50,1,2025-03-17,location,positive,not_applicable,high,none,Quiet residential street but close to the main road,gemini-3.1-flash-lite,5.0,en
96,51,1,2025-03-15,housekeeping_response,positive,not_applicable,high,none,Housekeeping came within minutes of asking,gemini-3.1-flash-lite,5.0,en
97,51,1,2025-03-15,check_in,positive,not_applicable,high,none,early check-in was arranged without fuss,gemini-3.1-flash-lite,5.0,en
98,52,1,2025-03-23,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,4.5,en
99,52,1,2025-03-23,wifi,positive,not_applicable,high,none,wiFi was fast and stable for video calls,gemini-3.1-flash-lite,4.5,en
100,52,1,2025-03-23,staff,negative,moderate,high,front_office,the front desk was unhelpful when we raised an issue,gemini-3.1-flash-lite,4.5,en
101,53,2,2025-03-14,staff,positive,not_applicable,high,none,The staff were genuinely warm and helpful,gemini-3.1-flash-lite,5.0,en
102,53,2,2025-03-14,amenities,positive,not_applicable,high,none,laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
103,54,1,2025-03-17,staff,positive,not_applicable,high,none,Front desk went out of their way for us,gemini-3.1-flash-lite,5.0,en
104,54,1,2025-03-17,room_quality,positive,not_applicable,high,none,aC cooled the room quickly,gemini-3.1-flash-lite,5.0,en
105,55,2,2025-03-16,room_quality,positive,not_applicable,high,none,Bed was extremely comfortable,gemini-3.1-flash-lite,5.0,en
106,56,1,2025-03-30,noise,positive,not_applicable,high,none,quiet even on the weekend,gemini-3.1-flash-lite,5.0,en
107,57,2,2025-03-24,check_in,positive,not_applicable,high,none,Self check-in worked perfectly at midnight,gemini-3.1-flash-lite,5.0,en
108,57,2,2025-03-24,location,positive,not_applicable,high,none,"great location, walking distance to everything",gemini-3.1-flash-lite,5.0,en
109,58,1,2025-03-20,check_in,positive,not_applicable,high,none,Check-in was quick and painless,gemini-3.1-flash-lite,5.0,en
110,58,1,2025-03-20,other,negative,moderate,high,front_office,the approach road is badly lit at night,gemini-3.1-flash-lite,5.0,en
111,59,2,2025-03-23,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,4.0,en
112,59,2,2025-03-23,amenities,positive,not_applicable,high,none,aC cooled the room quickly,gemini-3.1-flash-lite,4.0,en
113,59,2,2025-03-23,noise,negative,moderate,high,front_office,construction noise started early every morning,gemini-3.1-flash-lite,4.0,en
114,60,2,2025-03-22,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,4.0,en
115,60,2,2025-03-22,housekeeping_response,negative,moderate,high,housekeeping,housekeeping took nearly two hours to respond,gemini-3.1-flash-lite,4.0,en
116,61,1,2025-03-31,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,3.0,en
117,61,1,2025-03-31,maintenance,negative,moderate,high,maintenance,gym equipment was out of order,gemini-3.1-flash-lite,3.0,en
118,62,1,2025-03-21,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,5.0,en
119,63,1,2025-03-23,housekeeping_response,positive,not_applicable,high,none,Housekeeping came within minutes of asking,gemini-3.1-flash-lite,4.5,en
120,64,1,2025-03-21,check_in,positive,not_applicable,high,none,check-in was quick and painless,gemini-3.1-flash-lite,4.5,en
121,64,1,2025-03-21,housekeeping_response,negative,minor,high,housekeeping,no tea or coffee was restocked after the first day,gemini-3.1-flash-lite,4.5,en
122,65,2,2025-03-29,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,5.0,en
123,65,2,2025-03-29,check_in,positive,not_applicable,high,none,check-in was quick and painless,gemini-3.1-flash-lite,5.0,en
124,66,2,2025-03-25,housekeeping_response,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,5.0,en
125,67,1,2025-03-27,housekeeping_response,positive,not_applicable,high,none,Requested extra towels and they arrived immediately,gemini-3.1-flash-lite,5.0,hinglish
126,67,1,2025-03-27,wifi,negative,moderate,high,tech,wifi bar bar disconnect ho raha tha,gemini-3.1-flash-lite,5.0,hinglish
127,68,2,2025-03-30,location,positive,not_applicable,high,none,"Great location, walking distance to everything",gemini-3.1-flash-lite,4.5,en
128,68,2,2025-03-30,staff,positive,not_applicable,high,none,staff were genuinely warm and helpful,gemini-3.1-flash-lite,4.5,en
129,69,1,2025-03-31,check_in,positive,not_applicable,high,none,Self check-in worked perfectly at midnight,gemini-3.1-flash-lite,5.0,en
130,70,1,2025-03-27,check_in,positive,not_applicable,high,none,Self check-in worked perfectly at midnight,gemini-3.1-flash-lite,5.0,en
131,71,2,2025-03-31,wifi,positive,not_applicable,high,none,WiFi was fast and stable for video calls,gemini-3.1-flash-lite,5.0,en
132,71,2,2025-03-31,staff,positive,not_applicable,high,none,staff bahut helpful the,gemini-3.1-flash-lite,5.0,en
133,72,2,2025-03-29,cleanliness,positive,not_applicable,high,none,The apartment was spotless when we arrived,gemini-3.1-flash-lite,4.0,en
134,72,2,2025-03-29,housekeeping_response,negative,moderate,high,housekeeping,housekeeping took nearly two hours to respond,gemini-3.1-flash-lite,4.0,en
135,73,2,2025-03-30,cleanliness,positive,not_applicable,high,none,Room was very clean and fresh,gemini-3.1-flash-lite,5.0,en
136,73,2,2025-03-30,value,positive,not_applicable,high,none,"paisa vasool, definitely worth it",gemini-3.1-flash-lite,5.0,en
137,74,1,2025-04-04,amenities,positive,not_applicable,high,none,Kitchenette had everything we needed,gemini-3.1-flash-lite,4.5,en
138,74,1,2025-04-04,staff,positive,not_applicable,high,none,front desk went out of their way for us,gemini-3.1-flash-lite,4.5,en
139,75,1,2025-04-06,cleanliness,positive,not_applicable,high,none,Bathroom was sparkling clean,gemini-3.1-flash-lite,4.0,en
140,75,1,2025-04-06,room_quality,positive,not_applicable,high,none,room spacious tha aur well maintained,gemini-3.1-flash-lite,4.0,en
141,76,1,2025-04-02,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
142,77,2,2025-04-09,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
143,77,2,2025-04-09,location,positive,not_applicable,high,none,quiet residential street but close to the main road,gemini-3.1-flash-lite,5.0,en
144,77,2,2025-04-09,other,negative,moderate,high,none,approach road is badly lit at night,gemini-3.1-flash-lite,5.0,en
145,78,1,2025-04-16,location,positive,not_applicable,high,none,Quiet residential street but close to the main road,gemini-3.1-flash-lite,3.5,en
146,78,1,2025-04-16,check_in,positive,not_applicable,high,none,self check-in worked perfectly at midnight,gemini-3.1-flash-lite,3.5,en
147,78,1,2025-04-16,housekeeping_response,negative,moderate,high,housekeeping,we asked for cleaning three times before anyone came,gemini-3.1-flash-lite,3.5,en
148,79,1,2025-04-11,amenities,positive,not_applicable,high,none,Kitchenette had everything we needed,gemini-3.1-flash-lite,5.0,en
149,80,2,2025-04-07,noise,positive,not_applicable,high,none,quiet even on the weekend,gemini-3.1-flash-lite,5.0,en
150,81,2,2025-04-10,room_quality,positive,not_applicable,high,none,The apartment is well furnished and spacious,gemini-3.1-flash-lite,4.5,en
151,82,2,2025-04-12,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,4.5,en
152,83,2,2025-04-04,amenities,positive,not_applicable,high,none,laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
153,83,2,2025-04-04,housekeeping_response,negative,minor,high,housekeeping,no tea or coffee was restocked after the first day,gemini-3.1-flash-lite,5.0,en
154,84,1,2025-04-05,noise,positive,not_applicable,high,none,"Very peaceful, slept well every night",gemini-3.1-flash-lite,4.5,en
155,84,1,2025-04-05,housekeeping_response,positive,not_applicable,high,none,tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.5,en
156,84,1,2025-04-05,other,negative,moderate,high,front_office,the approach road is badly lit at night,gemini-3.1-flash-lite,4.5,en
157,85,1,2025-04-08,room_quality,positive,not_applicable,high,none,Room spacious tha aur well maintained,gemini-3.1-flash-lite,5.0,en
158,85,1,2025-04-08,staff,positive,not_applicable,high,none,staff were genuinely warm and helpful,gemini-3.1-flash-lite,5.0,en
159,86,2,2025-04-07,cleanliness,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,4.5,en
160,86,2,2025-04-07,check_in,positive,not_applicable,high,none,self check-in worked perfectly at midnight,gemini-3.1-flash-lite,4.5,en
161,87,2,2025-04-13,cleanliness,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,5.0,en
162,87,2,2025-04-13,wifi,positive,not_applicable,high,none,internet held up fine through a full day of meetings,gemini-3.1-flash-lite,5.0,en
163,87,2,2025-04-13,check_in,negative,severe,high,front_office,the access code did not work and we waited outside,gemini-3.1-flash-lite,5.0,en
164,88,1,2025-04-10,staff,positive,not_applicable,high,none,front desk went out of their way for us,gemini-3.1-flash-lite,5.0,en
165,89,1,2025-04-15,cleanliness,positive,not_applicable,high,none,The apartment was spotless when we arrived,gemini-3.1-flash-lite,5.0,en
166,89,1,2025-04-15,housekeeping_response,positive,not_applicable,high,none,housekeeping came within minutes of asking,gemini-3.1-flash-lite,5.0,en
167,90,1,2025-04-19,noise,positive,not_applicable,high,none,Very peaceful,gemini-3.1-flash-lite,5.0,en
168,91,1,2025-04-16,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,5.0,en
169,92,2,2025-04-10,housekeeping_response,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.5,en
170,93,1,2025-04-16,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,4.5,en
171,94,2,2025-04-13,wifi,positive,not_applicable,high,none,Internet held up fine through a full day of meetings,gemini-3.1-flash-lite,5.0,en
172,94,2,2025-04-13,amenities,positive,not_applicable,high,none,free parking made a big difference,gemini-3.1-flash-lite,5.0,en
173,95,1,2025-04-13,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,4.5,en
174,95,1,2025-04-13,check_in,negative,severe,high,front_office,access code did not work and we waited outside,gemini-3.1-flash-lite,4.5,en
175,96,2,2025-04-21,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,4.5,en
176,97,1,2025-04-19,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,5.0,en
177,98,1,2025-04-20,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.5,en
178,99,1,2025-04-17,amenities,positive,not_applicable,high,none,Kitchenette had everything we needed,gemini-3.1-flash-lite,4.0,en
179,99,1,2025-04-17,maintenance,negative,moderate,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,4.0,en
180,100,2,2025-04-28,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.5,en
181,101,1,2025-04-18,value,positive,not_applicable,high,none,Cheaper than a hotel and far more space,gemini-3.1-flash-lite,4.5,en
182,101,1,2025-04-18,maintenance,negative,moderate,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,4.5,en
183,102,1,2025-04-22,room_quality,positive,not_applicable,high,none,Everything worked exactly as it should,gemini-3.1-flash-lite,5.0,en
184,103,2,2025-04-19,staff,positive,not_applicable,high,none,Front desk went out of their way for us,gemini-3.1-flash-lite,5.0,en
185,103,2,2025-04-19,wifi,positive,not_applicable,high,none,wiFi was fast and stable for video calls,gemini-3.1-flash-lite,5.0,en
186,104,2,2025-04-22,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,4.5,en
187,105,1,2025-04-19,room_quality,positive,not_applicable,high,none,Room spacious tha aur well maintained,gemini-3.1-flash-lite,5.0,en
188,105,1,2025-04-19,amenities,positive,not_applicable,high,none,laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
189,106,2,2025-04-22,amenities,positive,not_applicable,high,none,Kitchenette had everything we needed,gemini-3.1-flash-lite,5.0,en
190,106,2,2025-04-22,wifi,positive,not_applicable,high,none,wiFi was fast and stable for video calls,gemini-3.1-flash-lite,5.0,en
191,107,1,2025-05-06,check_in,positive,not_applicable,high,none,Early check-in was arranged without fuss,gemini-3.1-flash-lite,5.0,hinglish
192,107,1,2025-05-06,housekeeping_response,negative,moderate,high,housekeeping,"towels maange the, do ghante lag gaye",gemini-3.1-flash-lite,5.0,hinglish
193,108,1,2025-04-24,amenities,positive,not_applicable,high,none,Free parking made a big difference,gemini-3.1-flash-lite,4.0,en
194,108,1,2025-04-24,value,positive,not_applicable,high,none,paisa vasool,gemini-3.1-flash-lite,4.0,en
195,109,1,2025-04-25,value,positive,not_applicable,high,none,Paisa vasool,gemini-3.1-flash-lite,5.0,en
196,110,2,2025-04-28,room_quality,positive,not_applicable,high,none,Everything worked exactly as it should,gemini-3.1-flash-lite,4.5,en
197,111,1,2025-04-21,cleanliness,positive,not_applicable,high,none,Daily cleaning was prompt and thorough,gemini-3.1-flash-lite,4.5,en
198,111,1,2025-04-21,amenities,positive,not_applicable,high,none,grocery delivery service was handy,gemini-3.1-flash-lite,4.5,en
199,111,1,2025-04-21,other,negative,moderate,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,4.5,en
200,112,1,2025-04-26,room_quality,positive,not_applicable,high,none,Everything worked exactly as it should,gemini-3.1-flash-lite,4.5,en
201,112,1,2025-04-26,other,negative,moderate,medium,maintenance,Hope they fix it,gemini-3.1-flash-lite,4.5,en
202,113,1,2025-04-24,housekeeping_response,positive,not_applicable,high,none,Housekeeping came within minutes of asking,gemini-3.1-flash-lite,5.0,en
203,114,2,2025-04-24,housekeeping_response,positive,not_applicable,high,none,Housekeeping came within minutes of asking,gemini-3.1-flash-lite,4.5,en
204,115,2,2025-05-05,location,positive,not_applicable,high,none,Very convenient for the tech parks,gemini-3.1-flash-lite,4.5,en
205,115,2,2025-05-05,room_quality,negative,minor,high,none,apartment felt smaller than the photos suggested,gemini-3.1-flash-lite,4.5,en
206,116,1,2025-04-26,cleanliness,positive,not_applicable,high,none,Ekdum clean tha,gemini-3.1-flash-lite,4.5,en
207,116,1,2025-04-26,staff,positive,not_applicable,high,none,front desk went out of their way for us,gemini-3.1-flash-lite,4.5,en
208,117,1,2025-04-25,location,positive,not_applicable,high,none,Quiet residential street but close to the main road,gemini-3.1-flash-lite,4.5,en
209,118,2,2025-04-29,amenities,positive,not_applicable,high,none,Grocery delivery service was handy,gemini-3.1-flash-lite,4.5,en
210,118,2,2025-04-29,check_in,positive,not_applicable,high,none,early check-in was arranged without fuss,gemini-3.1-flash-lite,4.5,en
211,118,2,2025-04-29,cleanliness,negative,moderate,high,housekeeping,the bathroom had not been cleaned properly,gemini-3.1-flash-lite,4.5,en
212,119,2,2025-04-27,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,5.0,en
213,120,1,2025-04-28,maintenance,positive,not_applicable,high,none,AC cooled the room quickly,gemini-3.1-flash-lite,4.5,en
214,120,1,2025-04-28,value,positive,not_applicable,high,none,excellent value for what you get,gemini-3.1-flash-lite,4.5,en
215,120,1,2025-04-28,noise,negative,moderate,high,none,construction noise started early every morning,gemini-3.1-flash-lite,4.5,en
216,121,1,2025-04-29,amenities,positive,not_applicable,high,none,Tea and coffee supplies were restocked daily,gemini-3.1-flash-lite,4.0,en
217,121,1,2025-04-29,noise,positive,not_applicable,high,none,very peaceful,gemini-3.1-flash-lite,4.0,en
218,122,1,2025-05-02,cleanliness,positive,not_applicable,high,none,The apartment was spotless,gemini-3.1-flash-lite,4.5,en
219,122,1,2025-05-02,check_in,positive,not_applicable,high,none,check-in was quick and painless,gemini-3.1-flash-lite,4.5,en
220,123,1,2025-05-03,amenities,positive,not_applicable,high,none,Laundry and gym were a real bonus,gemini-3.1-flash-lite,4.0,en
221,124,2,2025-05-04,noise,positive,not_applicable,high,none,Quiet even on the weekend,gemini-3.1-flash-lite,4.0,en
